Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
697	NaN	NaN	NaN	NaN	NaN	NaN
698	NaN	NaN	NaN	NaN	NaN	NaN
699	NaN	NaN	NaN	NaN	NaN	NaN
700	NaN	NaN	NaN	NaN	NaN	NaN
701	NaN	NaN	NaN	NaN	NaN	NaN
702	NaN	NaN	NaN	NaN	NaN	NaN
703	NaN	NaN	NaN	NaN	NaN	NaN
704	NaN	NaN	NaN	NaN	NaN	NaN
705	NaN	NaN	NaN	NaN	NaN	NaN
706	NaN	NaN	NaN	NaN	NaN	NaN
707	NaN	NaN	NaN	NaN	NaN	NaN
708	NaN	NaN	NaN	NaN	NaN	NaN
709	NaN	NaN	NaN	NaN	NaN	NaN
710	NaN	NaN	NaN	NaN	NaN	NaN
711	NaN	NaN	NaN	NaN	NaN	NaN
712	NaN	NaN	NaN	NaN	NaN	NaN
713	NaN	NaN	NaN	NaN	NaN	NaN
714	NaN	NaN	NaN	NaN	NaN	NaN
715	NaN	NaN	NaN	NaN	NaN	NaN
716	NaN	NaN	NaN	NaN	NaN	NaN
717	NaN	NaN	NaN	NaN	NaN	NaN
718	NaN	NaN	NaN	NaN	NaN	NaN
719	NaN	NaN	NaN	NaN	NaN	NaN
720	NaN	NaN	NaN	NaN	NaN	NaN
721	NaN	NaN	NaN	NaN	NaN	NaN
722	NaN	NaN	NaN	NaN	NaN	NaN
723	NaN	NaN	NaN	NaN	NaN	NaN
724	NaN	NaN	NaN	NaN	NaN	NaN
725	NaN	NaN	NaN	NaN	NaN	NaN
726	NaN	NaN	NaN	NaN	NaN	NaN
727	NaN	NaN	NaN	NaN	NaN	NaN
728	NaN	NaN	NaN	NaN	NaN	NaN
729	NaN	NaN	NaN	NaN	NaN	NaN
730	NaN	NaN	NaN	NaN	NaN	NaN
731	NaN	NaN	NaN	NaN	NaN	NaN
732	NaN	NaN	NaN	NaN	NaN	NaN
733	NaN	NaN	NaN	NaN	NaN	NaN
734	NaN	NaN	NaN	NaN	NaN	NaN
735	NaN	NaN	NaN	NaN	NaN	NaN
736	NaN	NaN	NaN	NaN	NaN	NaN
737	NaN	NaN	NaN	NaN	NaN	NaN
738	NaN	NaN	NaN	NaN	NaN	NaN
739	NaN	NaN	NaN	NaN	NaN	NaN
740	NaN	NaN	NaN	NaN	NaN	NaN
741	NaN	NaN	NaN	NaN	NaN	NaN
